#iin;location;type;issuername;phone
371231;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371232;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371233;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371234;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371235;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371236;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371237;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371238;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371239;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371240;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371241;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371242;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371243;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371244;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371245;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371246;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371247;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371248;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371249;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371250;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371251;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371252;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371253;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371254;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371255;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371256;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371257;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371258;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371259;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371260;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371261;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371262;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371263;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371264;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371265;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371266;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371267;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371268;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371269;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371270;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371271;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371272;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371273;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371274;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371275;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371276;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371277;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371278;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371279;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371280;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371281;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371282;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371283;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371284;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371285;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371286;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371287;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371288;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371289;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371290;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371291;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371292;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371293;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371294;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371295;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371296;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371297;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371298;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371299;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371300;;AMEX;;
371310;;AMEX;;
371311;;AMEX;;
371312;;AMEX;;
371313;;AMEX;;
371314;;AMEX;;
371315;;AMEX;;
371316;;AMEX;;
371317;;AMEX;;
371318;;AMEX;;
371319;;AMEX;;
371320;;AMEX;;
371321;;AMEX;;
371322;;AMEX;;
371323;;AMEX;;
371324;;AMEX;;
371325;;AMEX;;
371326;;AMEX;;
371327;;AMEX;;
371328;;AMEX;;
371329;;AMEX;;
371330;;AMEX;;
371331;;AMEX;;
371332;;AMEX;;
371333;;AMEX;;
371334;;AMEX;;
371335;;AMEX;;
371336;;AMEX;;
371337;;AMEX;;
371338;;AMEX;;
371339;;AMEX;;
371340;;AMEX;;
371341;;AMEX;;
371342;;AMEX;;
371343;;AMEX;;
371344;;AMEX;;
371345;;AMEX;;
371346;;AMEX;;
371347;;AMEX;;
371348;;AMEX;;
371349;;AMEX;;
371370;UNITED STATES OF AMERICA;Amex;AMEX PLATINUM;
371371;UNITED STATES OF AMERICA;Amex;AMEX PLATINUM;
371372;UNITED STATES OF AMERICA;Amex;AMEX PLATINUM;
371373;UNITED STATES OF AMERICA;Amex;AMEX PLATINUM;
371374;UNITED STATES OF AMERICA;Amex;AMEX PLATINUM;
371375;UNITED STATES OF AMERICA;Amex;AMEX PLATINUM;
371376;UNITED STATES OF AMERICA;Amex;AMEX PLATINUM;
371377;UNITED STATES OF AMERICA;Amex;AMEX PLATINUM;
371378;UNITED STATES OF AMERICA;Amex;AMEX PLATINUM;
371379;UNITED STATES OF AMERICA;Amex;AMEX PLATINUM;
371380;;AMEX;;
371381;;AMEX;;
371382;;AMEX;;
371383;;AMEX;;
371384;;AMEX;;
371385;;AMEX;;
371386;;AMEX;;
371387;;AMEX;;
371388;;AMEX;;
371389;;AMEX;;
371401;;AMEX;;
371403;;AMEX;;
371406;;AMEX;;
371407;;AMEX;;
371411;;AMEX;;
371413;;AMEX;;
371416;;AMEX;;
371417;;AMEX;;
371425;;AMEX;;
371426;;AMEX;;
371429;;AMEX;;
371431;;AMEX;;
371432;;AMEX;;
371433;;AMEX;;
371435;;AMEX;;
371438;;AMEX;;
371439;;AMEX;;
371441;;AMEX;;
371442;;AMEX;;
371444;;AMEX;;
371447;;AMEX;;
371449;;AMEX;;
371451;;AMEX;;
371455;;AMEX;;
371456;;AMEX;;
371457;;AMEX;;
371458;;AMEX;;
371461;;AMEX;;
371468;;AMEX;;
371500;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371501;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371502;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371503;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371504;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371505;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371506;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371507;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371508;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371509;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371510;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371511;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371512;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371513;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371514;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371515;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371516;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371517;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371518;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371519;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371520;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371521;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371522;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371523;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371524;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371525;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371526;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371527;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371528;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371529;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371530;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371531;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371532;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371533;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371534;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371535;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371536;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371537;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371538;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371539;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371540;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371541;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371542;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371543;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371544;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371545;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371546;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371547;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371548;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371549;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371550;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371551;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371552;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371553;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371554;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371555;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371556;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371557;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371558;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371559;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371560;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371561;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371562;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371563;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371564;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371565;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371566;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371567;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371568;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371569;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371570;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371571;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371572;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371573;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371574;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371575;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371576;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371577;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371578;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371579;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371580;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371581;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371582;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;
371583;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371584;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371585;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371586;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371587;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371588;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371589;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371590;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371591;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371592;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371593;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371594;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371595;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371596;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371597;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371598;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371599;UNITED STATES OF AMERICA;Amex;AMEX CENTURION;
371700;;AMEX;;
371701;;AMEX;;
371702;;AMEX;;
371703;;AMEX;;
371704;;AMEX;;
371705;;AMEX;;
371706;;AMEX;;
371707;;AMEX;;
371708;;AMEX;;
371709;;AMEX;;
371710;;AMEX;;
371711;;AMEX;;
371712;;AMEX;;
371713;;AMEX;;
371714;;AMEX;;
371715;;AMEX;;
371716;;AMEX;;
371717;;AMEX;;
371718;;AMEX;;
371719;;AMEX;;
371720;;AMEX;;
371721;;AMEX;;
371722;;AMEX;;
371723;;AMEX;;
371724;;AMEX;;
371725;;AMEX;;
371726;;AMEX;;
371727;;AMEX;;
371728;;AMEX;;
371729;;AMEX;;
371730;;AMEX;;
371731;;AMEX;;
371732;;AMEX;;
371733;;AMEX;;
371734;;AMEX;;
371735;;AMEX;;
371736;;AMEX;;
371737;;AMEX;;
371738;;AMEX;;
371739;;AMEX;;
371740;;AMEX;;
371741;;AMEX;;
371742;;AMEX;;
371743;;AMEX;;
371744;;AMEX;;
371745;;AMEX;;
371746;;AMEX;;
371747;;AMEX;;
371748;;AMEX;;
371749;;AMEX;;
371750;;AMEX;;
371751;;AMEX;;
371752;;AMEX;;
371753;;AMEX;;
371754;;AMEX;;
371755;;AMEX;;
371756;;AMEX;;
371757;;AMEX;;
371758;;AMEX;;
371759;;AMEX;;
371800;UNITED STATES OF AMERICA;Amex;AMEX GOLD;800-327-2177/445-7989
371801;UNITED STATES OF AMERICA;Amex;AMEX GOLD;800-327-2177/445-7989
371802;UNITED STATES OF AMERICA;Amex;AMEX GOLD;800-327-2177/445-7989
371803;UNITED STATES OF AMERICA;Amex;AMEX GOLD;800-327-2177/445-7989
